,0,1
0,NA,404
1,NA,404
2,NA,404
3,NA,404
4,NA,404
5,NA,404
6,NA,404
7,NA,404
8,NA,404
9,NA,404
10,NA,404
11,NA,404
12,NA,404
13,NA,404
14,NA,404
15,NA,404
16,NA,404
17,NA,404
18,NA,404
19,NA,404
20,NA,404
21,NA,404
22,NA,404
23,NA,404
24,NA,404
25,NA,404
26,NA,404
27,NA,404
28,NA,404
29,NA,404
30,NA,404
31,NA,404
32,NA,404
33,NA,404
34,NA,404
35,NA,404
36,NA,404
37,NA,404
38,NA,404
39,NA,404
40,NA,404
41,NA,404
42,NA,404
43,NA,404
44,NA,404
45,NA,404
46,NA,404
47,NA,404
48,NA,404
49,NA,404
50,NA,404
51,NA,404
52,NA,404
53,NA,404
54,NA,404
55,NA,404
56,NA,404
57,NA,404
58,NA,404
59,NA,404
60,NA,404
61,NA,404
62,NA,404
63,NA,404
64,NA,404
65,NA,404
66,NA,404
67,NA,404
68,NA,404
69,NA,404
70,NA,404
71,NA,404
72,NA,404
73,NA,404
74,NA,404
75,NA,404
76,NA,404
77,NA,404
78,NA,404
79,NA,404
80,NA,404
81,NA,404
82,NA,404
83,NA,404
84,NA,404
85,NA,404
86,NA,404
87,NA,404
88,NA,404
89,NA,404
90,NA,404
91,NA,404
92,NA,404
93,NA,404
94,NA,404
95,NA,404
96,NA,404
97,NA,404
98,NA,404
99,NA,404
100,NA,404
101,NA,404
102,NA,404
103,NA,404
104,NA,404
105,NA,404
106,NA,404
107,NA,404
108,NA,404
109,NA,404
110,NA,404
111,NA,404
112,NA,404
113,NA,404
114,NA,404
115,NA,404
116,NA,404
117,NA,404
118,NA,404
119,NA,404
120,NA,404
121,NA,404
122,NA,404
123,NA,404
124,NA,404
125,NA,404
126,NA,404
127,NA,404
128,NA,404
129,NA,404
130,NA,404
131,NA,404
132,NA,404
133,NA,404
134,NA,404
135,NA,404
136,NA,404
137,NA,404
138,NA,404
139,NA,404
140,NA,404
141,NA,404
142,NA,404
143,NA,404
144,NA,404
145,NA,404
146,NA,404
147,NA,404
148,NA,404
149,NA,404
150,NA,404
151,NA,404
152,NA,404
153,NA,404
154,NA,404
155,NA,404
156,NA,404
157,NA,404
158,NA,404
159,NA,404
160,NA,404
161,NA,404
162,NA,404
163,NA,404
164,NA,404
165,NA,404
166,NA,404
167,NA,404
168,NA,404
169,NA,404
170,NA,404
171,NA,404
172,NA,404
173,NA,404
174,NA,404
175,NA,404
176,NA,404
177,NA,404
178,NA,404
179,NA,404
180,NA,404
181,NA,404
182,NA,404
183,NA,404
184,NA,404
185,NA,404
186,NA,404
187,NA,404
188,NA,404
189,NA,404
190,NA,404
191,NA,404
192,NA,404
193,NA,404
194,NA,404
195,NA,404
196,NA,404
197,NA,404
198,NA,404
199,NA,404
200,NA,404
201,NA,404
202,NA,404
203,NA,404
204,NA,404
205,NA,404
206,NA,404
207,NA,404
208,NA,404
209,NA,404
210,NA,404
211,NA,404
212,NA,404
213,NA,404
214,NA,404
215,NA,404
216,NA,404
217,NA,404
218,NA,404
219,NA,404
220,NA,404
221,NA,404
222,NA,404
223,NA,404
224,NA,404
225,NA,404
226,NA,404
227,NA,404
228,NA,404
229,NA,404
230,NA,404
231,NA,404
232,NA,404
233,NA,404
234,NA,404
235,NA,404
236,NA,404
237,NA,404
238,NA,404
239,NA,404
240,NA,404
241,NA,404
242,NA,404
243,NA,404
244,NA,404
245,NA,404
246,NA,404
247,NA,404
248,NA,404
249,NA,404
250,NA,404
251,NA,404
