symbol,community
AAGAB,274
AP1G1,62
AP1G2,62
AP1S2,62
AP1S3,274
AP2A1,3
AP2A2,3
AP2S1,3
ASAH1,511
C15orf57,274
EDRF1,274
EIF3C,1
STX4,32
STXBP3,32
AAK1,3
AP2B1,3
AP2M1,3
APP,1
DVL3,52
LUZP1,3
PLEC,1
PPIP5K2,172
QSER1,172
SEC24B,172
UBE2D2,9
URGCP,172
WNK1,1
AASDHPPT,1
EHD1,1
EHD4,311
HNRNPH1,1
NOL3,1
PLCG1,2
POTEI,563
STIL,1
TRAPPC4,109
USP22,24
ZC3HC1,186
ABCB6,4
TOMM40,8
ABCB7,1
ATP6V1D,1
AURKA,1
EPRS,1
FECH,478
HSCB,121
LONP1,28
MBTPS2,179
MED23,17
MINOS1,1
MRPL10,38
MTCH1,8
NDUFB6,8
NUBP1,1
ORAOV1,147
PDCD6,1
PITRM1,8
RPN1,1
TAF2,1
UQCRC1,1
ABHD10,393
ABI1,67
ABI2,67
ABL1,2
BAIAP2,7
BRK1,67
CBL,2
CDC123,264
CTTN,1
CYFIP1,67
CYFIP2,67
ENAH,67
EPS8,2
HOMER3,67
KIAA1522,67
MBP,67
MKI67,1
NCK1,2
NCK2,2
NCKAP1,67
NCKAP1L,67
NHS,67
NHSL1,67
NXN,67
PIK3R1,2
PPP2R1A,19
RAPH1,67
RBM14,1
SF3A3,1
SRRM1,1
SSB,1
THOC6,1
WASF1,67
WASF2,67
WASL,233
ABL2,2
APPL2,194
ARMC7,148
BLOC1S6,141
CASKIN2,90
CCDC102B,97
CCDC36,441
CCDC53,141
CCHCR1,20
CEP44,6
DTNB,60
EFS,2
EGLN3,1
EXOC7,25
GCC1,1
GRN,186
IFT20,108
KIAA1217,260
KRT20,67
MRFAP1L1,464
MRPL44,38
NUP62,1
OBSL1,1
PCMT1,1
PRAM1,67
PRR16,123
RGPD5,160
SASS6,6
STAM2,71
TFIP11,35
TNIP1,13
TRIM32,9
UBR3,278
VARS2,533
WASF3,67
ANAPC15,47
ATM,1
ATR,1
BAG1,16
BCAR1,2
BCL2L1,61
BCR,2
BMP2K,3
BRCA1,1
CASP9,13
CAT,1
CBLB,2
CCND2,18
CDKN1A,1
CDKN1B,1
Cdon,553
CDON,2
CKAP4,55
Creb1,2
CREB1,92
CRK,2
CRKL,2
CTNNB1,1
Ddb1,36
DDX5,1
DOK1,2
DOK2,2
DRG1,1
DVL2,52
EEF1G,1
EGFR,1
EIF2A,1
EMD,1
EPHA3,57
EPHB2,2
EPS15,3
ERBB2,2
ERBB3,2
ERBB4,2
EVL,144
EWSR1,33
FOS,48
FUS,1
GPX1,6
GRB10,2
GRB2,2
HCK,2
HIPK2,39
HNRNPM,1
HSP90AA1,1
HSPA4,1
HSPD1,1
HSPE1,93
HUWE1,1
ILF3,1
INPPL1,2
Jak1,82
JAK1,2
JUN,48
LARS,1
LATS2,18
LRRC59,1
MAPT,1
MAVS,13
MDM2,1
MDM4,18
MICAL1,2
Msh5,2
MSH5,1
MTOR,1
MUC1,2
NAA25,562
NARS,1
NCOA3,5
NEDD9,2
NFKBIA,13
NTRK1,1
PAG1,2
PAK4,57
PARK2,1
PCNA,1
PDE4D,208
PDGFRB,2
PFDN4,1
PIK3R2,2
PLEKHA4,236
PPM1B,57
PRDX1,1
PRKCZ,1
PRKDC,1
PSMA4,10
PSMA7,10
PTGES3,405
PTPN6,2
RAD51,76
RAD9A,147
RAPGEF1,2
RB1,54
REPS1,3
RFX1,80
RPL37,1
RPLP1,1
RPS21,1
RPS6KB1,408
RYBP,22
SHB,2
SHC1,2
SHD,2
SHE,2
SORBS1,2
SORBS2,3
SPAG9,1
SPRR2A,2
SPTA1,1
SPTAN1,1
SRC,2
STK4,19
STON2,3
STUB1,9
SUB1,1
TERF1,1
TMPO,1
TOPBP1,1
TP53,1
TP73,39
TUB,2
UBASH3B,2
USP7,1
VAV1,2
WRNIP1,1
XRCC6,1
YAP1,1
YWHAB,7
YWHAE,7
YWHAG,7
YWHAH,7
YWHAQ,1
YWHAZ,7
ZDHHC16,2
C15orf48,8
FBXO38,80
HRAS,2
OIP5,20
PIK3R3,2
RIN1,7
TPD52L1,175
TRIP10,43
ABT1,195
CCDC136,376
CDCA7L,195
CEP70,35
FAM9B,418
LZTS2,35
SYNE4,4
ABTB2,425
CUL3,1
DNTT,425
EEF1A1,1
RBX1,9
ACADM,1
ATP1A1,1
ATP5C1,1
ATP6V1A,1
CAND1,1
CANX,1
DDOST,1
DDX39B,1
ETFA,1
GFPT1,1
GFPT2,263
HIBCH,1
IDH3A,1
PPP2R1B,19
PRKCSH,1
PSMC2,10
STRAP,1
SUCLA2,135
UQCRC2,1
VDAC1,1
VDAC2,1
ACBD3,126
DUS3L,16
EFTUD2,1
HARS,1
RPUSD2,126
SARS,1
SNF8,325
TBCD,126
UNC45A,6
VPS36,325
WDR12,1
ACKR3,1
