VMT_ID	Virus	miRNA	Uniprot
VMT_0001	EBV	ebv-miR-bhrf1-2	A0AV96
VMT_0002	KSHV	kshv-miR-k12-11	A0AV96
VMT_0003	EBV	ebv-miR-bart19-3p	A0AV96
VMT_0004	EBV	ebv-miR-bart13	A0AVI4
VMT_0005	KSHV	kshv-miR-k12-9	A0AVT1
VMT_0006	EBV	ebv-miR-bart7	A0AVT1
VMT_0007	EBV	ebv-miR-bart19-3p	A0JNW5
VMT_0008	KSHV	kshv-miR-k12-1	A0PJG0
VMT_0009	KSHV	kshv-miR-k12-3-3p	A0PJG0
VMT_0010	KSHV	kshv-miR-k12-6-3p	A0PJG0
VMT_0011	KSHV	kshv-miR-k12-11	A0PJG0
VMT_0012	KSHV	kshv-miR-k12-7	A1KXE4
VMT_0013	EBV	ebv-miR-bart4	A1KXE4
VMT_0014	KSHV	kshv-miR-k12-4-3p	A1Z1Q3
VMT_0015	EBV	ebv-miR-bart20-3p	A1Z1Q3
VMT_0016	EBV	ebv-miR-bart22	A2ACR1
VMT_0017	EBV	ebv-miR-bart3	A2AEA2
VMT_0018	KSHV	kshv-miR-k12-11	A2AJT9
VMT_0019	EBV	ebv-miR-bart19-3p	A2RRH5
VMT_0020	KSHV	kshv-miR-k12-3	A2RU67
VMT_0021	KSHV	kshv-miR-k12-6-5p	A4D0V7
VMT_0022	KSHV	kshv-miR-k12-6-3p	A4D1E9
VMT_0023	EBV	ebv-miR-bart7	A4D1E9
VMT_0024	EBV	ebv-miR-bart6-3p	A4D1E9
VMT_0025	KSHV	kshv-miR-k12-1*	A4D2Q0
VMT_0026	EBV	ebv-miR-bart20-3p	A4D2Q0
VMT_0027	KSHV	kshv-miR-k12-6-3p	A5D8V6
VMT_0028	EBV	ebv-miR-bart9	A5D8V6
VMT_0029	KSHV	kshv-miR-k12-1	A5PLN9
VMT_0030	EBV	ebv-miR-bart18-5p	A5YKK6
VMT_0031	EBV	ebv-miR-bart3	A5YKK6
VMT_0032	KSHV	kshv-miR-k12-1*	A6NCS6
VMT_0033	EBV	ebv-miR-bart1-3p	A6NCS6
VMT_0034	EBV	ebv-miR-bart14	A6NDG6
VMT_0035	KSHV	kshv-miR-k12-6-5p	A6NDU8
VMT_0036	EBV	ebv-miR-bart9	A6NDU8
VMT_0037	EBV	ebv-miR-bart1-3p	A6NFE2
VMT_0038	KSHV	kshv-miR-k12-12*	A6NFY7
VMT_0039	EBV	ebv-miR-bart8*	A6NFY7
VMT_0040	EBV	ebv-miR-bart4	A6NH01
VMT_0041	EBV	ebv-miR-bart10	A6NHR9
VMT_0042	KSHV	kshv-miR-k12-1	A6NIH7
VMT_0043	EBV	ebv-miR-bart14	A6NIZ0
VMT_0044	EBV	ebv-miR-bart2-5p	A6NKE1
VMT_0045	EBV	ebv-miR-bart6-5p	A6NP11
VMT_0046	EBV	ebv-miR-bart3	A7E2F4
VMT_0047	EBV	ebv-miR-bart7	A8KAJ9
VMT_0048	EBV	ebv-miR-bart17-3p	A8MQB8
VMT_0049	EBV	ebv-miR-bart2-5p	A8MQT2
VMT_0050	EBV	ebv-miR-bart19-5p	A8MT92
VMT_0051	KSHV	kshv-miR-k12-11	A8MTY0
VMT_0052	EBV	ebv-miR-bart2-5p	A8MTY0
VMT_0053	KSHV	kshv-miR-k12-7	A8MUA9
VMT_0054	EBV	ebv-miR-bart5	A8MUE8
VMT_0055	KSHV	kshv-miR-k12-4-3p	A8MVM1
VMT_0056	EBV	ebv-miR-bart7	A8MVM1
