A0AV96	RBM47	RNA-binding protein 47	54502	Lung, Brain, Colon carcinoma
A0AVI4	TMEM129	E3 ubiquitin-protein ligase TM129	92305	
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	55236	Blood, Hippocampus, Skeletal muscle, Brain, Erythroleukemia, Liver
A0JNW5	UHRF1BP1L	UHRF1-binding protein 1-like	23074	Placenta, Uterus, Brain, Testis, Testis, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver
A0PJG0	THBS1	THBS1 protein	-	Blood
A1KXE4	FAM168B	Myelin-associated neurite-outgrowth inhibitor	130074	Brain, Eye, Erythroleukemia
A1Z1Q3	MACROD2	ADP-ribose glycohydrolase MACROD2	140733	Thymus, Testis, Lung, Liver
A2ACR1	PSMB9	Proteasome subunit beta	-	
A2AEA2	HLA-C	HLA class I histocompatibility antigen, Cw-6 alpha chain	-	
A2AJT9	BCLAF3	BCLAF1 and THRAP3 family member 3	256643	Amygdala, Teratocarcinoma, Colon, Cervix carcinoma, Cervix carcinoma, Erythroleukemia
A2RRH5	WDR27	WD repeat-containing protein 27	253769	
A2RU67	FAM234B	Protein FAM234B	57613	Amygdala, Brain, Brain, Cervix carcinoma, Leukemic T-cell, Liver
A4D0V7	CPED1	Cadherin-like and PC-esterase domain-containing protein 1	79974	Hippocampus, Spinal cord, Skin
A4D1E9	GTPBP10	GTP-binding protein 10	85865	Fetal brain, Amygdala, Brain, Uterus, Skin, Uterus
A4D2Q0	UNC84A	Unc-84 homolog A (C. elegans)	-	
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C	55048	Amygdala
A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	80006	Brain, Small intestine, Placenta, Brain
A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	23019	Cervix, Fetal kidney, Testis, Choriocarcinoma, Leiomyosarcoma, Testis, Brain, Adrenal gland, Cervix carcinoma, Erythroleukemia
A6NCS6	C2orf72	Uncharacterized protein C2orf72	257407	Liver
A6NDG6	PGP	Glycerol-3-phosphate phosphatase	283871	
A6NDU8	C5orf51	UPF0600 protein C5orf51	285636	
A6NFE2	SMCO2	Single-pass membrane and coiled-coil domain-containing protein 2	341346	
A6NFY7	SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial	644096	Brain
A6NH01	AP1S2	AP complex subunit sigma	-	
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	23347	Trachea, Testis, Brain, Eye, Ovarian carcinoma, Erythroleukemia
A6NIH7	UNC119B	Protein unc-119 homolog B	84747	Uterus, Placenta, Liver
A6NIZ0	NDEL1	Nuclear distribution protein nudE-like 1	81565	
A6NKE1	TRAPPC3	Trafficking protein particle complex subunit 3	-	
A6NP11	ZNF716	Zinc finger protein 716	441234	Testis
A7E2F4	GOLGA8A	Golgin subfamily A member 8A	23015	Brain, Brain, Liver
A8KAJ9	TYW5	cDNA FLJ78342	-	Uterus
A8MQB8	FMR1	Synaptic functional regulator FMR1	-	
A8MQT2	GOLGA8B	Golgin subfamily A member 8B	440270	Leukemic T-cell, Brain
A8MT92	GRIA2	Glutamate receptor 2	2891	Brain, Brain
A8MTY0	ZNF724	Zinc finger protein 724	-	Spleen
A8MUA9	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (Yeast), isoform CRA_d	-	
A8MUE8	PHF20L1	PHD finger protein 20-like protein 1	-	
