,UniProtID,Symbol,FullName,GOIDs,Tissues
0,A0AV96,RBM47,RNA-binding protein 47,"['GO:0005634', 'GO:0003729', 'GO:0003723', 'GO:0016554', 'GO:0002244']","['Lung', 'Brain', 'Colon carcinoma']"
1,A0AVI4,TMEM129,E3 ubiquitin-protein ligase TM129,"['GO:0005783', 'GO:0005789', 'GO:0016021', 'GO:0046872', 'GO:0061630', 'GO:0000209', 'GO:0016567', 'GO:0006986', 'GO:0030970', 'GO:0030433']",[]
2,A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,"['GO:0005737', 'GO:0005829', 'GO:0005524', 'GO:0019780', 'GO:0004839', 'GO:0021764', 'GO:0060996', 'GO:0021766', 'GO:0007612', 'GO:0007626', 'GO:0032446', 'GO:0016567', 'GO:0006511']","['Blood', 'Hippocampus', 'Skeletal muscle', 'Brain', 'Erythroleukemia', 'Liver']"
3,A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,"['GO:0005829', 'GO:0005769', 'GO:0062069', 'GO:0042803']","['Placenta', 'Uterus', 'Brain', 'Testis', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
4,A0PJG0,THBS1,THBS1 protein,"['GO:0005615', 'GO:0050840', 'GO:0008201', 'GO:0006954', 'GO:0016525']",['Blood']
5,A1KXE4,FAM168B,Myelin-associated neurite-outgrowth inhibitor,"['GO:0030424', 'GO:0070062', 'GO:0016021', 'GO:0048471', 'GO:0005886']","['Brain', 'Eye', 'Erythroleukemia']"
6,A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2,"['GO:0005813', 'GO:0005730', 'GO:0005634', 'GO:0140293', 'GO:0019213', 'GO:0016798', 'GO:0007420', 'GO:0006974', 'GO:0140291', 'GO:0051725', 'GO:0042278', 'GO:0009617']","['Thymus', 'Testis', 'Lung', 'Liver']"
7,A2ACR1,PSMB9,Proteasome subunit beta,"['GO:0005829', 'GO:0005634', 'GO:0005839', 'GO:0004298', 'GO:0002376', 'GO:0051603']",[]
8,A2AEA2,HLA-C,"HLA class I histocompatibility antigen, Cw-6 alpha chain","['GO:0016021', 'GO:0042612', 'GO:0002474', 'GO:0006955']",[]
9,A2AJT9,BCLAF3,BCLAF1 and THRAP3 family member 3,['GO:0005739'],"['Amygdala', 'Teratocarcinoma', 'Colon', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
10,A2RRH5,WDR27,WD repeat-containing protein 27,['GO:0005654'],[]
11,A2RU67,FAM234B,Protein FAM234B,['GO:0016021'],"['Amygdala', 'Brain', 'Brain', 'Cervix carcinoma', 'Leukemic T-cell', 'Liver']"
12,A4D0V7,CPED1,Cadherin-like and PC-esterase domain-containing protein 1,['GO:0005783'],"['Hippocampus', 'Spinal cord', 'Skin']"
13,A4D1E9,GTPBP10,GTP-binding protein 10,"['GO:0005694', 'GO:0005730', 'GO:0005525', 'GO:0003723', 'GO:0042254']","['Fetal brain', 'Amygdala', 'Brain', 'Uterus', 'Skin', 'Uterus']"
14,A4D2Q0,UNC84A,Unc-84 homolog A (C. elegans),"['GO:0005639', 'GO:0034993']",[]
15,A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C,"['GO:0010008', 'GO:0000813', 'GO:0070062', 'GO:0043231', 'GO:0031902', 'GO:0048306', 'GO:0016197', 'GO:0032509', 'GO:0016236', 'GO:0036258', 'GO:0006612', 'GO:0006623', 'GO:0043162', 'GO:0039702', 'GO:0019058']",['Amygdala']
16,A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,"['GO:0005829', 'GO:0017112']","['Brain', 'Small intestine', 'Placenta', 'Brain']"
17,A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,"['GO:0030014', 'GO:0030015', 'GO:0005829', 'GO:0005615', 'GO:0016020', 'GO:0005634', 'GO:0000932', 'GO:0005778', 'GO:0070016', 'GO:0030331', 'GO:0019904', 'GO:0032947', 'GO:0042974', 'GO:0003723', 'GO:0006977', 'GO:0035195', 'GO:0007275', 'GO:0033147', 'GO:0048387', 'GO:0000122', 'GO:0017148', 'GO:0000289', 'GO:0010606', 'GO:0061014', 'GO:1900153', 'GO:0060213', 'GO:2000036', 'GO:0090503']","['Cervix', 'Fetal kidney', 'Testis', 'Choriocarcinoma', 'Leiomyosarcoma', 'Testis', 'Brain', 'Adrenal gland', 'Cervix carcinoma', 'Erythroleukemia']"
18,A6NCS6,C2orf72,Uncharacterized protein C2orf72,[],['Liver']
19,A6NDG6,PGP,Glycerol-3-phosphate phosphatase,"['GO:0005737', 'GO:0000121', 'GO:0043136', 'GO:0000287', 'GO:0098519', 'GO:0016791', 'GO:0008967', 'GO:0004725', 'GO:0016311', 'GO:0006114', 'GO:0006650', 'GO:0045721', 'GO:0035335']",[]
20,A6NDU8,C5orf51,UPF0600 protein C5orf51,"['GO:0005829', 'GO:0005654']",[]
21,A6NFE2,SMCO2,Single-pass membrane and coiled-coil domain-containing protein 2,['GO:0016021'],[]
22,A6NFY7,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial","['GO:0005759', 'GO:0005739', 'GO:0034553']",['Brain']
23,A6NH01,AP1S2,AP complex subunit sigma,"['GO:0030117', 'GO:0006886', 'GO:0016192']",[]
24,A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,"['GO:0001740', 'GO:0035861', 'GO:0005524', 'GO:0016887', 'GO:0003677', 'GO:0042803', 'GO:0009048', 'GO:0006302', 'GO:0070868', 'GO:0060821', 'GO:0060820', 'GO:2000042', 'GO:0043584', 'GO:0045739', 'GO:2001034']","['Trachea', 'Testis', 'Brain', 'Eye', 'Ovarian carcinoma', 'Erythroleukemia']"
